"id_act";"sp";"weight_category";"sample_catch_ST";"lat";"lon";"fishing_mode";"date_act";"vessel";"id_trip";"landingdate";"ocean";"code_act_type"
"fr.ird.t3.entities.data.Activity#1562947613272#0.9048911114739723";"YFT";"p10";23;-13,8335;45,4501;1;2013-03-27;572;"fr.ird.t3.entities.data.Trip#1562947613272#0.7029119715676354";2013-04-11;2;1
"fr.ird.t3.entities.data.Activity#1562947613272#0.9117751224990409";"BET";"m10";0,649640720100725;-14,5001;45,5668;1;2013-03-23;572;"fr.ird.t3.entities.data.Trip#1562947613272#0.7029119715676354";2013-04-11;2;1
"fr.ird.t3.entities.data.Activity#1562947613272#0.9117751224990409";"SKJ";"m10";12,1835297825866;-14,5001;45,5668;1;2013-03-23;572;"fr.ird.t3.entities.data.Trip#1562947613272#0.7029119715676354";2013-04-11;2;1
"fr.ird.t3.entities.data.Activity#1562947613272#0.9117751224990409";"YFT";"m10";8,65597936530248;-14,5001;45,5668;1;2013-03-23;572;"fr.ird.t3.entities.data.Trip#1562947613272#0.7029119715676354";2013-04-11;2;1
"fr.ird.t3.entities.data.Activity#1562947613272#0.9117751224990409";"YFT";"p10";8,48670765593183;-14,5001;45,5668;1;2013-03-23;572;"fr.ird.t3.entities.data.Trip#1562947613272#0.7029119715676354";2013-04-11;2;1
"fr.ird.t3.entities.data.Activity#1562947613272#0.9483395211081264";"BET";"m10";0,649640720100725;-13,6835;45,8501;1;2013-03-24;572;"fr.ird.t3.entities.data.Trip#1562947613272#0.7029119715676354";2013-04-11;2;1
"fr.ird.t3.entities.data.Activity#1562947613272#0.9483395211081264";"SKJ";"m10";12,1835297825866;-13,6835;45,8501;1;2013-03-24;572;"fr.ird.t3.entities.data.Trip#1562947613272#0.7029119715676354";2013-04-11;2;1
"fr.ird.t3.entities.data.Activity#1562947613272#0.9483395211081264";"YFT";"m10";8,65597936530248;-13,6835;45,8501;1;2013-03-24;572;"fr.ird.t3.entities.data.Trip#1562947613272#0.7029119715676354";2013-04-11;2;1
"fr.ird.t3.entities.data.Activity#1562947613272#0.9483395211081264";"YFT";"p10";8,48670765593183;-13,6835;45,8501;1;2013-03-24;572;"fr.ird.t3.entities.data.Trip#1562947613272#0.7029119715676354";2013-04-11;2;1
"fr.ird.t3.entities.data.Activity#1562947613272#0.9589578247356596";"BET";"m10";2,30845180768636;-13,0168;46,2668;1;2013-03-28;572;"fr.ird.t3.entities.data.Trip#1562947613272#0.7029119715676354";2013-04-11;2;1
"fr.ird.t3.entities.data.Activity#1562947613272#0.9589578247356596";"SKJ";"m10";34,8029202261469;-13,0168;46,2668;1;2013-03-28;572;"fr.ird.t3.entities.data.Trip#1562947613272#0.7029119715676354";2013-04-11;2;1
"fr.ird.t3.entities.data.Activity#1562947613272#0.9589578247356596";"YFT";"m10";5,88862796616677;-13,0168;46,2668;1;2013-03-28;572;"fr.ird.t3.entities.data.Trip#1562947613272#0.7029119715676354";2013-04-11;2;1
"fr.ird.t3.entities.data.Activity#1562947613272#0.9589578247356596";"YFT";"p10";19;-13,0168;46,2668;1;2013-03-28;572;"fr.ird.t3.entities.data.Trip#1562947613272#0.7029119715676354";2013-04-11;2;1
"fr.ird.t3.entities.data.Activity#1562947613273#0.09241486893977113";"BET";"m10";4,32239571352944;-12,9668;46,3335;1;2013-04-05;572;"fr.ird.t3.entities.data.Trip#1562947613272#0.7029119715676354";2013-04-11;2;1
"fr.ird.t3.entities.data.Activity#1562947613273#0.09241486893977113";"BET";"p10";0,729308656873896;-12,9668;46,3335;1;2013-04-05;572;"fr.ird.t3.entities.data.Trip#1562947613272#0.7029119715676354";2013-04-11;2;1
"fr.ird.t3.entities.data.Activity#1562947613273#0.09241486893977113";"SKJ";"m10";19,544365017036;-12,9668;46,3335;1;2013-04-05;572;"fr.ird.t3.entities.data.Trip#1562947613272#0.7029119715676354";2013-04-11;2;1
"fr.ird.t3.entities.data.Activity#1562947613273#0.09241486893977113";"YFT";"m10";1,24155680298729;-12,9668;46,3335;1;2013-04-05;572;"fr.ird.t3.entities.data.Trip#1562947613272#0.7029119715676354";2013-04-11;2;1
"fr.ird.t3.entities.data.Activity#1562947613273#0.09241486893977113";"YFT";"p10";19,3812451098394;-12,9668;46,3335;1;2013-04-05;572;"fr.ird.t3.entities.data.Trip#1562947613272#0.7029119715676354";2013-04-11;2;1
"fr.ird.t3.entities.data.Activity#1562947613273#0.23870670654058312";"BET";"m10";0,164448876927583;-14,7835;43,7501;1;2013-04-03;572;"fr.ird.t3.entities.data.Trip#1562947613272#0.7029119715676354";2013-04-11;2;1
"fr.ird.t3.entities.data.Activity#1562947613273#0.23870670654058312";"SKJ";"m10";9,08844359588164;-14,7835;43,7501;1;2013-04-03;572;"fr.ird.t3.entities.data.Trip#1562947613272#0.7029119715676354";2013-04-11;2;1
"fr.ird.t3.entities.data.Activity#1562947613273#0.23870670654058312";"YFT";"m10";4,08145468809404;-14,7835;43,7501;1;2013-04-03;572;"fr.ird.t3.entities.data.Trip#1562947613272#0.7029119715676354";2013-04-11;2;1
"fr.ird.t3.entities.data.Activity#1562947613273#0.23870670654058312";"YFT";"p10";3,17223713030595;-14,7835;43,7501;1;2013-04-03;572;"fr.ird.t3.entities.data.Trip#1562947613272#0.7029119715676354";2013-04-11;2;1
"fr.ird.t3.entities.data.Activity#1562947613273#0.3136154648372079";"BET";"m10";1,17064883908089;-13,8668;47,1501;1;2013-04-04;572;"fr.ird.t3.entities.data.Trip#1562947613272#0.7029119715676354";2013-04-11;2;1
"fr.ird.t3.entities.data.Activity#1562947613273#0.3136154648372079";"BET";"p10";0,197521094570013;-13,8668;47,1501;1;2013-04-04;572;"fr.ird.t3.entities.data.Trip#1562947613272#0.7029119715676354";2013-04-11;2;1
"fr.ird.t3.entities.data.Activity#1562947613273#0.3136154648372079";"SKJ";"m10";5,29326552544725;-13,8668;47,1501;1;2013-04-04;572;"fr.ird.t3.entities.data.Trip#1562947613272#0.7029119715676354";2013-04-11;2;1
"fr.ird.t3.entities.data.Activity#1562947613273#0.3136154648372079";"YFT";"m10";0,336254967475724;-13,8668;47,1501;1;2013-04-04;572;"fr.ird.t3.entities.data.Trip#1562947613272#0.7029119715676354";2013-04-11;2;1
"fr.ird.t3.entities.data.Activity#1562947613273#0.3136154648372079";"YFT";"p10";5,24908721724818;-13,8668;47,1501;1;2013-04-04;572;"fr.ird.t3.entities.data.Trip#1562947613272#0.7029119715676354";2013-04-11;2;1
"fr.ird.t3.entities.data.Activity#1562947613273#0.39513406101745574";"BET";"m10";0,365441948727963;-15,0668;44,8168;1;2013-04-02;572;"fr.ird.t3.entities.data.Trip#1562947613272#0.7029119715676354";2013-04-11;2;1
"fr.ird.t3.entities.data.Activity#1562947613273#0.39513406101745574";"SKJ";"m10";20,1965413241814;-15,0668;44,8168;1;2013-04-02;572;"fr.ird.t3.entities.data.Trip#1562947613272#0.7029119715676354";2013-04-11;2;1
"fr.ird.t3.entities.data.Activity#1562947613273#0.39513406101745574";"YFT";"m10";9,06989930687564;-15,0668;44,8168;1;2013-04-02;572;"fr.ird.t3.entities.data.Trip#1562947613272#0.7029119715676354";2013-04-11;2;1
"fr.ird.t3.entities.data.Activity#1562947613273#0.39513406101745574";"YFT";"p10";7,04941584512433;-15,0668;44,8168;1;2013-04-02;572;"fr.ird.t3.entities.data.Trip#1562947613272#0.7029119715676354";2013-04-11;2;1
"fr.ird.t3.entities.data.Activity#1562947613273#0.4050620196651181";"BET";"m10";0,0639523410273935;-14,9835;44,4835;1;2013-04-02;572;"fr.ird.t3.entities.data.Trip#1562947613272#0.7029119715676354";2013-04-11;2;1
"fr.ird.t3.entities.data.Activity#1562947613273#0.4050620196651181";"SKJ";"m10";3,53439473173175;-14,9835;44,4835;1;2013-04-02;572;"fr.ird.t3.entities.data.Trip#1562947613272#0.7029119715676354";2013-04-11;2;1
"fr.ird.t3.entities.data.Activity#1562947613273#0.4050620196651181";"YFT";"m10";1,58723237870324;-14,9835;44,4835;1;2013-04-02;572;"fr.ird.t3.entities.data.Trip#1562947613272#0.7029119715676354";2013-04-11;2;1
"fr.ird.t3.entities.data.Activity#1562947613273#0.4050620196651181";"YFT";"p10";1,23364777289676;-14,9835;44,4835;1;2013-04-02;572;"fr.ird.t3.entities.data.Trip#1562947613272#0.7029119715676354";2013-04-11;2;1
"fr.ird.t3.entities.data.Activity#1562947613273#0.6081777380057346";"BET";"m10";0,0182720974363981;-12,2168;45,9835;1;2013-03-31;572;"fr.ird.t3.entities.data.Trip#1562947613272#0.7029119715676354";2013-04-11;2;1
"fr.ird.t3.entities.data.Activity#1562947613273#0.6081777380057346";"SKJ";"m10";1,00982706620907;-12,2168;45,9835;1;2013-03-31;572;"fr.ird.t3.entities.data.Trip#1562947613272#0.7029119715676354";2013-04-11;2;1
"fr.ird.t3.entities.data.Activity#1562947613273#0.6081777380057346";"YFT";"m10";0,453494965343782;-12,2168;45,9835;1;2013-03-31;572;"fr.ird.t3.entities.data.Trip#1562947613272#0.7029119715676354";2013-04-11;2;1
